a,b,theta,R3,R4,A1,A2,E,E_p,E_t1,E_t2,machine_type,status,file_name
7.5,5.9,25.5,2.1,1.9,0,-1.5,-55.02761194005143,-7.513262571417727,-9.684462231583892,-10.316081167024096,1,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-1.5_a=7.5_b=5.9_cx=0_cy=0_cz=0.log
7.5,5.9,25.5,2.1,1.9,0,-2.0,-54.7714334926568,-7.496431498089805,-9.659638563578484,-10.22964668466011,1,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-2.0_a=7.5_b=5.9_cx=0_cy=0_cz=0.log
7.5,5.9,25.5,2.1,1.9,0,-2.5,-54.42651760054287,-7.4747974631609395,-9.62053214025218,-10.117929196858311,1,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-2.5_a=7.5_b=5.9_cx=0_cy=0_cz=0.log
7.3,5.7,25.5,2.1,1.9,0,-1.0,-55.62423464283347,-7.866457829833962,-9.675390947086273,-10.270268544496505,2,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-1.0_a=7.3_b=5.7_cx=0_cy=0_cz=0.log
7.3,5.7,25.5,2.1,1.9,0,-0.5,-55.49981572490651,-7.773516068584286,-9.652189392305443,-10.324202401563523,2,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-0.5_a=7.3_b=5.7_cx=0_cy=0_cz=0.log
7.3,5.7,25.5,2.1,1.9,0,0.0,-55.1877512371866,-7.662134298821911,-9.599307869561017,-10.332433450210374,2,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=0.0_a=7.3_b=5.7_cx=0_cy=0_cz=0.log
7.5,6.0,25.5,2.1,1.9,0,-1.5,-54.15673850150779,-7.128522385028191,-9.65134601877071,-10.298500846954994,1,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-1.5_a=7.5_b=6.0_cx=0_cy=0_cz=0.log
7.5,6.0,25.5,2.1,1.9,0,-2.5,-53.5498798560584,-7.059019377455115,-9.59386422042735,-10.122056330146734,1,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-2.5_a=7.5_b=6.0_cx=0_cy=0_cz=0.log
7.5,6.0,25.5,2.1,1.9,0,-2.0,-53.890798508771695,-7.094754816964269,-9.62891943892464,-10.221724998496938,1,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-2.0_a=7.5_b=6.0_cx=0_cy=0_cz=0.log
7.4,5.7,25.5,2.1,1.9,0,-1.0,-55.8586472782772,-7.866457829833962,-9.718298198247794,-10.344567611056846,2,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-1.0_a=7.4_b=5.7_cx=0_cy=0_cz=0.log
7.4,5.7,25.5,2.1,1.9,0,-0.5,-55.73405516787898,-7.773516068584286,-9.70223770744633,-10.391273807908874,2,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-0.5_a=7.4_b=5.7_cx=0_cy=0_cz=0.log
7.4,5.7,25.5,2.1,1.9,0,0.0,-55.44238977518398,-7.662134298821911,-9.660715998208616,-10.398344590561464,2,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=0.0_a=7.4_b=5.7_cx=0_cy=0_cz=0.log
7.3,5.7,25.5,2.1,1.9,0,-1.5,-55.56938524881844,-7.942003758857027,-9.670591123052873,-10.172097742499318,1,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-1.5_a=7.3_b=5.7_cx=0_cy=0_cz=0.log
7.5,5.7,25.5,2.1,1.9,0,-1.0,-55.750848590629175,-7.866457829833962,-9.681177216756623,-10.327789248724002,2,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-1.0_a=7.5_b=5.7_cx=0_cy=0_cz=0.log
7.3,5.7,25.5,2.1,1.9,0,-2.5,-54.9605010006344,-8.046003501163796,-9.58339609846007,-9.850850900693333,1,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-2.5_a=7.3_b=5.7_cx=0_cy=0_cz=0.log
7.3,5.7,25.5,2.1,1.9,0,-2.0,-55.34485966048669,-8.00140134524554,-9.639430858951528,-10.031597626046278,1,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-2.0_a=7.3_b=5.7_cx=0_cy=0_cz=0.log
7.5,5.7,25.5,2.1,1.9,0,-0.5,-55.62368117831648,-7.773516068584286,-9.67056414001854,-10.36776038055541,2,Done,tetracene_theta=25.5_R3=2.1_R4=1.9_A1=0_A2=-0.5_a=7.5_b=5.7_cx=0_cy=0_cz=0.log
